Organization Name,Organization Name URL,Industries,Headquarters Location,Estimated Revenue Range,Operating Status,Company Type,Website,Full Description,Headquarters Regions,Founded Date,Founded Date Precision,Contact Email,Phone Number,LinkedIn,Facebook,Twitter,SimilarWeb - Monthly Visits,IPO Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Employees,Industry Groups,Stock Symbol,Stock Symbol URL
Seal Software,https://www.crunchbase.com/organization/seal-software-com,"Analytics, Artificial Intelligence, Machine Learning, Project Management, Software","Walnut Creek, California, United States",$1M to $10M,Active,For Profit,http://seal-software.com/,"Seal Software is the leading provider of contract discovery, data extraction, and analytics. With Seal’s machine learning and NLP technologies, companies can find contracts of any file type across their networks, quickly understand what risks or opportunities are hidden in their contracts and place them in a centralized repository. Based in the San Francisco Bay Area, Seal empowers enterprises around the world to maximize revenue opportunities, reduce costs, and mitigate risks associated with contractual documents, systems, and processes. Seal Software also provides User Driven Machine Learning, which allows business users to train the system’s machine learning functions and extract data; and extensibility, contract analytics, and data visualization solutions. It serves Fortune 500 businesses, including financial service, high technology, healthcare, legal service, and other industries.  Kevin Gidney and Ulf Zetterberg founded Seal Software in 2010. It has its headquarters in Walnut Creek in California.","San Francisco Bay Area, West Coast, Western US",2010-01-01,year,privacy@seal-software.com,44 1344 988 450,https://www.linkedin.com/company/seal-software-group/,http://www.facebook.com/SealSoftware/,http://twitter.com/SealSoftware,"6,382",Private,58000000,USD,58000000,101-250,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software",,
YapStone,https://www.crunchbase.com/organization/yapstone,"Finance, Financial Services, FinTech, Marketplace, Mobile Payments, Payments","Walnut Creek, California, United States",$100M to $500M,Active,For Profit,http://www.yapstone.com,"YapStone is a global provider of online and mobile payment solutions for global marketplaces and large vertical markets. YapStone powers payments for HomeAway®, VRBO®, and thousands of apartment rental and vacation rental companies, homeowners’ associations, and self-storage companies. YapStone processes over $18B in payment volume annually and has been recognized for its growth, ranking on the Inc. 5000 list of Fastest-Growing Private Companies for nine consecutive years. To add, YapStone was named to Forbes'​ list of ""Next Billion Dollar Startups in 2016""​ as well as Forbes’ List of America’s Most Promising Companies in 2015. With over $110 million in funding from investors including Accel Partners, Meritech Capital and Bregal Sagemount, YapStone is well on its way to “changing how the world pays.” Headquartered in Walnut Creek, CA, YapStone has additional U.S. offices in San Francisco, CA, Santa Monica, CA, and Austin, TX, with international operations in Drogheda, Ireland. To learn more the next big thing in FinTech, visit www.YapStone.com.","San Francisco Bay Area, West Coast, Western US",1999-01-01,year,marketing@yapstone.com,(866) 289-5977,http://www.linkedin.com/company/yapstone-inc,http://www.facebook.com/yapstone,http://twitter.com/yapstone,"23,337",Private,186400000,USD,186400000,251-500,"Commerce and Shopping, Financial Services, Mobile, Payments, Software",,
Vantiq,https://www.crunchbase.com/organization/vantiq,"Cloud Computing, Enterprise Applications, Information Technology, Internet of Things, Mobile Apps, PaaS, Software, Web Apps","Walnut Creek, California, United States",$1M to $10M,Active,For Profit,http://vantiq.com,"Vantiq’s goal is to be the premiere provider of innovative technologies to digitize the world while keeping humans in charge. The latest technology advancements will usher in an era of greater change than the world has yet seen. Vantiq’s products facilitate the transition to this highly complex, information-driven world.","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,,,https://www.linkedin.com/company/vantiq-software,https://www.facebook.com/VANTIQHQ/,https://twitter.com/Vantiq,"5,999",Private,35102933,USD,35102933,11-50,"Apps, Information Technology, Internet Services, Mobile, Software",,
Vroozi,https://www.crunchbase.com/organization/vroozi,"Enterprise Software, Price Comparison, Procurement, Search Engine, Software","Walnut Creek, California, United States",$10M to $50M,Active,For Profit,http://www.vroozi.com,"Vroozi offers a cloud-based procurement and catalog management solution for handling enterprise purchasing needs. Clients in the government, GPO, healthcare, media and entertainment, oil and gas, retail, and technology industries can enable spend management, compliance and process efficiency in their businesses. Vroozi was founded by Shaz Khan and Rich Chala in August 2011 and is based in Los Angeles, California.","San Francisco Bay Area, West Coast, Western US",2011-08-18,day,info@vroozi.com,(866)509-5045,http://www.linkedin.com/company/vroozi,https://www.facebook.com/vroozi-371024192984960,http://twitter.com/vroozi,"13,125",Private,26000000,USD,26000000,51-100,"Commerce and Shopping, Internet Services, Software, Transportation",,
RecoveryOne,https://www.crunchbase.com/organization/trainer-rx,"Health Care, Information Services, Medical","Walnut Creek, California, United States",$1M to $10M,Active,For Profit,https://recoveryone.com/,"RecoveryOne provides personalized programs that combine digital therapy and live coaching to reduce costs, accelerate recovery and drive patient satisfaction.","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,info@trainerrx.com,1-833-LIVE-TRX,https://www.linkedin.com/company/recoveryone/,https://www.facebook.com/TrainerRx,https://twitter.com/LiveRecoveryOne,"4,497",Private,17234534,USD,17234534,11-50,"Health Care, Information Technology",,
audiobridge,https://www.crunchbase.com/organization/audiobridge,"Audio, iOS, Mobile, Music","Walnut Creek, California, United States",,Active,For Profit,https://www.audiobridgeapp.com,"audiobridge is a recording studio in your pocket. Record the world's next hit song with our in-app multi-track recording studio while collaborating instantly with anyone in the world! Layer beautiful harmonies and musical parts in our intuitive recording interface. Within each session, there is a dedicated chat room and note pad so you and your collaborators can easily communicate and write songs together.","San Francisco Bay Area, West Coast, Western US",2016-04-01,month,support@audiobridgeapp.com,6155385789,https://www.linkedin.com/company/audiobridge/,https://www.facebook.com/audiobridgeapp/,https://www.twitter.com/audiobridge/,231,Private,565000,USD,565000,1-10,"Media and Entertainment, Mobile, Music and Audio, Platforms, Software",,
Mattermark,https://www.crunchbase.com/organization/mattermark,"Big Data, Data Mining, Data Visualization, Enterprise Software, Software, Venture Capital","Orinda, California, United States",,Active,For Profit,https://mattermark.com,"Mattermark is a data platform for venture capital companies to quantify signals of growing and potentially lucrative start-ups. Mattermark offers deal intelligence to the world's leading dealmakers - venture capital, private equity, corporate development, sales, and marketing professionals looking to take a data-driven approach to deal sourcing and due diligence. Mattermark was launched in 2012 as a data platform for VCs with hopes of becoming the go-to software for firms to use when quantifying signals of growing and potentially lucrative startups.","San Francisco Bay Area, West Coast, Western US",2012-01-01,year,sales@mattermark.com,+1 760-307-4714,https://www.linkedin.com/company/3182754,https://www.facebook.com/mattermark,https://twitter.com/mattermark,"18,532",Private,17200000,USD,17200000,1-10,"Data and Analytics, Design, Financial Services, Information Technology, Lending and Investments, Software",,
Eave,https://www.crunchbase.com/organization/eave-c75a,"Accounting, Billing, Finance, Financial Services","Walnut Creek, California, United States",$1M to $10M,Active,,https://helloeave.com,"Eave is a mortgage loan origination company. They make ethical mortgages easy. By positioning its borrowers to be treated like cash buyers, they provide them the best possible mortgage experience. They’re able to do this because of a team of customer-centric engineers working alongside creative industry experts.   Eavek offers a platform that automates 80% of the mortgage origination, underwriting, and funding processes. As a result,their operations team can focus all their time on providing red carpet customer support. Further, they’ve reimagined the industry’s order of operations. At Eave, they fully underwrite their borrowers before they start shopping. This means they know how much they can afford and what rates they qualify for from the very beginning.  In May 2019, Eave was acquired by Homelight. Eave was founded in 2015 and based in Walnut Creek, California.","San Francisco Bay Area, West Coast, Western US",2015-01-01,year,,844-822,https://www.linkedin.com/company/eave---home-lending/,,https://twitter.com/helloeave?lang=en,,Private,7276370,USD,7276370,11-50,"Financial Services, Payments, Professional Services, Software",,
Collectly,https://www.crunchbase.com/organization/collectly-inc,"Apps, Debt Collections, Financial Services, Health Care","Walnut Creek, California, United States",Less than $1M,Active,For Profit,http://collectly.co,Collectly helps healthcare providers collect more past due invoices by helping patients get out of the debt as smooth as possible.,"San Francisco Bay Area, West Coast, Western US",2016-02-01,month,,1(415)418-7720,https://www.linkedin.com/company-beta/10455871,https://www.facebook.com/collectly,https://www.twitter.com/collectlyapp,"49,269",Private,1900000,USD,1900000,1-10,"Administrative Services, Apps, Financial Services, Health Care, Software",,
Cerus,https://www.crunchbase.com/organization/cerus-corporation,"Biotechnology, Industrial Automation, Manufacturing, Smart Building","Concord, California, United States",$10M to $50M,Active,,http://www.cerus.com/,"Cerus Corporation is a biomedical products company focused in the field of blood safety. Cerus currently markets and sells the INTERCEPT Blood System for both platelets and plasma in Europe, the Commonwealth of Independent States, the Middle East and selected countries in other regions around the world. In the United States, Cerus is seeking regulatory approval of the INTERCEPT Blood System for plasma and platelets. The INTERCEPT red blood cell system is in clinical development.","San Francisco Bay Area, West Coast, Western US",2003-01-01,year,,9252886001,http://www.linkedin.com/company/cerus-industrial,,,"5,150",Public,45000000,USD,45000000,51-100,"Biotechnology, Manufacturing, Real Estate, Science and Engineering",CERS,https://www.crunchbase.com/ipo/cerus-corporation-ipo--0f7d3020
